date	sha	title
2020-02-08	fcc710b228385c5c4b2b5bb642685d3dde6d0ed6	Phrase from page 11
2020-01-26	f3289daba2703383ab520a673c2758b0013f6276	Page 10
2020-01-25	79bdcc5c2633df50ded765be6b707363c0088adc	hitopadesha phrases, page 9
2020-01-14	988a63cc3cddb3f2e873d3e1ed8abd198301bf6d	Page 9
2020-01-13	a1f1b48aa055a36dc58723317c5eb4eaf0a9587b	Through page 7
2020-01-06	848f3300bd4f67eb8163a9fe97f3e9271063c1e6	try to stop tracking anki2a files
2020-01-06	784fddfdf27caec98e81fc4b6f6b47bab4c2d05f	phrases for Pages 1,2
2020-01-05	cfe51d8d30c459660c26779556bc343a52c346fc	begin hitophrases
2020-01-05	08b89170f5fae01fa94b7eafa116b2978ba85612	Create License
2020-01-05	de17ca48aa0bcbad94c38459d94c900496e6e950	Initial commit
