date	sha	title
2023-07-11	ec36de89b652f370580c06c5eae7ff2a49cb445a	Footnote corrections. 5500-6200
2023-07-07	4b44a4a4c5be1b2840914a99e6035d057510cd0a	Footnote corrections from Sampada. 6200-7613
2023-05-29	3c81f85f421ffb9f4d62b9c424f927e8c4d4a2f3	Footnote corrections from Sampada. 5000-5499.1
2023-04-30	19a5f4a0823c793a07dd2c63041ef8fa6c3b4503	Footnote corrections from Sampada. 4500-4999
2023-03-30	c5f475974aab95e3d4a26a995ae651b2ffb5ffd5	Footnote corrections from Sampada. 4000-4499
2023-02-09	69239541c9c53978d921a5049e95c33527db6101	footnote proofread 3500-3999. # 54
2023-02-03	61426036ef8bfdacdf557a2eca8d2123f112438a	footnote proofread 3000-3499  #54
2023-01-09	9542505ca68e6617ad4d3921746cb478f25380df	footnote proofread 2500-2999.  #54
2022-12-27	350af8352f5600f65dd895f6e0e0dd080eee03d0	footnote proofread 2000-2499.  #54
2022-10-20	8cfef17f6651ab2c8b8cd3fef2cf4aa49897089b	footnote proofread 1500-1999. #54
2022-10-02	bfd140a5e19abb5cf7a05c97a9fb26d4583b8cce	footnote proofread 1000-1499. #54
2022-09-25	95848861296f60bdf782326c329ca0c668dd7134	Proofread 601-999
2022-09-16	bcbd8603e755cd442b46ba3927c5d0306fbf0670	update footnote readme
2022-09-16	112bd2dc13dea8308132e73902ceaebcf6efd68a	Footnote proofread 265-600
2022-09-11	332243f64f732fe42d7dfdfdb5839d3dfe3753d7	L_0265_0600 begin
2022-09-10	4242fc7a1ae0554635595fc2699cf86443377eea	step4footnote readme.org
2022-09-10	331fce5e5b1d2429b8714f634f2b156ccdccfa25	Footnote proofread entries 1-265. #54
2022-08-11	03087abcc050711a0e7f339d5f2bb428117ebdb5	Finish Sanskrit verse proofreading for volume 3.
Ref: https://github.com/funderburkjim/boesp-prep/issues/49
2022-08-10	c8ac9b107dde71d8b49c452220a8f6714bf2cfd1	Revise readme in step4a3
2022-08-10	86a2e93504f0124497f0ad4c5107d1a9e909ac39	Resolution of corrections to Sanskrit verses in volume 3.
Ref: https://github.com/funderburkjim/boesp-prep/issues/49
2022-08-03	924bf718bc5dcbd74c42a022e30b9625e39f8b0b	Sanskrit verse proofing, volume 3, continued. #49
2022-07-11	04154c4d33b28047b2cd0b4b495ddc3b52d2d4fd	diff1_rev1  :  rev1 of AB version of volume 3 verses. #49
2022-07-08	26a19708ce3b03b67da654df8460b0b70ae6303c	diff1 for proof-reading verses, volume 3.  #49
2022-06-06	3265a0591d8a255d0101902895f078e338f53836	German word corrections (1). #53
2022-06-03	6be8bc3367672c65f1fdbe419b271b6896e07b83	Update web1 display for German word corrections. #52
2022-06-03	c4dd6a116d0287c822c402502b47682a64905da3	German word corrections. #52
2022-04-11	7b65368cc21fc5b0d08231a3d47a1e380a124e20	print changes noted in volume 2 verses. #48
2022-04-11	a404bf697a361791b9b64e6a922ac17d4740232b	final1 version of verses from volume 2. #48
2022-04-06	990fd7e7f2f07dd62384c2e3da7baf55109bbc1b	Add devanagari version step4a2/boesp-2_deva_diff_ab2a_final.txt
#48
2022-04-06	4bd8fc5fccd71525f1a16e2ba7d39b278d4df018	Resolve revisions from AB and Sampada.
boesp-2_slp1_final.txt is result.
boesp-2_slp1_diff_ab2a_final.txt shows remaining diffs from AB.
boesp-2_slp1_diff_sam1b_final.txt shows remaining diffs from Sampada
#48  and https://github.com/funderburkjim/boesp-prep-ab/issues/10
2022-03-29	174e3c30a43fef496b2e062bed79594291cc5a0a	First difference in proofreading of volume 2 verses.
#48
2022-01-18	a8738671a8f8760feb945f4932bf4f2d19ed4f86	Revised web1 files
2022-01-17	498b173ac8424f19fda6df528017493bab91a891	web1 link target. Use json, javascript, and url parsing. #51
2022-01-17	9ae3d6bd021bf73b0c895f8643dffd3638c2ba76	web0 Anchor approach to linkable target. #51
2022-01-17	878cdb905bdf8c193195edece83559a57ac05751	#39.  Add missing v3,v4,v5 and also aufrecht entries.  See step4f/readme.txt
under temp_boesp_AB_03.xml and temp_boesp_AB_04.xml
2022-01-17	472bb77d6cc462d511ecdea4ce35f3efc7a46327	#39: corrections derived from boesp_deva (AB)_1b.txt
2022-01-13	ac3586131b38ad26cbe548467fe49e0ba3ab9d3a	revise readme.txt
