date	issue	state	title
2024-10-11	1774	closed	gra:9360
2024-10-10	1773	open	Kozianka edition of Graßmann
2024-10-09	1772	closed	stc:15877
2024-10-09	1771	closed	mw:10002.2
2024-10-09	1770	closed	bur:10536
2024-10-09	1769	closed	wil:37221
2024-10-09	1768	closed	mw:216352
2024-10-09	1767	closed	stc:23953
2024-10-09	1766	closed	mw:
2024-10-09	1765	closed	mw:92817
2024-10-09	1764	closed	gra:7788
2024-10-09	1763	closed	mwe:entitled
2024-10-09	1762	open	mw:8622.1
2024-10-09	1761	closed	gra:6420
2024-10-09	1760	closed	gra:1978
2024-10-09	1759	closed	ap90:22629
2024-10-09	1758	closed	mw:218103
2024-10-09	1757	closed	bur:10240
2024-10-09	1756	closed	ap90:10745
2024-10-09	1755	closed	pwg:13239
2024-10-09	1754	closed	mw:
2024-10-09	1753	closed	mw:28747
2024-10-09	1752	closed	mw:80341
2024-10-09	1751	closed	wil:6290
2024-10-09	1750	closed	stc:10915
2024-10-09	1749	closed	mw:164838
2024-10-09	1748	closed	vcp:37664
2024-10-09	1747	closed	gra:4265
2024-10-09	1746	closed	stc:11682
2024-10-09	1745	closed	bur:8584
2024-10-09	1744	closed	bur:18023
2024-10-09	1743	closed	stc:7572
2024-10-09	1742	closed	stc:8445
2024-10-09	1741	closed	mw:106933
2024-10-09	1740	closed	mw:97720
2024-10-09	1739	closed	stc:13882
2024-10-09	1738	closed	gra:5514
2024-10-09	1737	closed	gra:6296
2024-07-04	1736	closed	MW: 262445 hastinApura
2024-06-25	1735	closed	mw:200196
2024-06-25	1734	closed	mw:200195
2024-06-25	1733	closed	mw:200194
2024-06-25	1732	closed	mw:200193
2024-06-25	1731	closed	mw:200100
2024-06-25	1730	closed	mw:199915
2024-06-25	1729	closed	mw:199874
2024-06-25	1728	closed	mw:199361
2024-06-25	1727	closed	gra:2645
2024-06-25	1726	closed	mw:193733
2024-06-25	1725	closed	mw:203141
2024-06-25	1724	closed	mw:-śirayati
2024-06-25	1723	closed	gra:6055
2024-06-25	1722	closed	mwe:4165
2024-06-25	1721	closed	mw:137883
