date	sha	title
2024-02-07	c296b63ce7af6ef5f3cf1efa25f6c3f8ca956a82	update post PR #21
2024-02-07	a8daa09dfc6b5a1fd39114571f216bd09a21c7d2	regen as on 07 Feb 2024
2024-01-16	dedc62ad9e4e99b31bd55a27faccc3bd413cd2c8	close #39
2024-01-16	2116379128a0e77e9b87c3fe33deae5be8d0df4a	Devanagari regen as on 16 Jan 2024
2022-03-01	bc2b5455a0ebbdb9650a1f18078cab5aa121c2e1	regen on 01 March 2022
2022-03-01	3dec1f3d491038df812bc1bbb5e44d338a566a77	MW regen
2022-02-17	519beb8ac68998adc2987bfa02c7d39c1686ccc8	slp1 to slp1_accented in transliteration
2022-02-17	bb262ea739053f99581e38bd35d4ca695c2b747f	https://github.com/sanskrit-lexicon/csl-ldev/pull/3
2022-02-17	f10b32344ee66082be3edcab98d2279484342498	regen 17 Feb 2022
2022-01-31	b453c975f77b6bd08003973ed94bc6d66b6472d4	regen on 31 Jan 2022
2021-10-11	cd76af4005a7645f3e2cdbbd527a0b1f7416c0ef	VCP update
2021-10-07	15cd8c3861eff356dc42aa33a51876dd64c5da75	text update
2021-10-03	c0db736eb33bba2b079a5475af14cebeaffbed8a	a few more etym changes
2021-10-03	7d113cea0a324f95af45e75fa0ea13eaf2ac741f	regen 03 Oct 2021
2021-10-03	4c15e7f7f04469b18e966d3be0f3df3110018414	diff regen on 3 Oct 2021
2021-10-03	02b20b89071b0818b0e4932e46364deaeac05407	Merge branch 'main' of https://github.com/sanskrit-lexicon/csl-devanagari
2021-10-03	d545400f309906d807155e5baa4fabfb24fe8048	data as on 30 Sept 2021
2021-10-03	427d6dcbaabc7e56c54b3f4de320b354958c0441	started handling https://github.com/sanskrit-lexicon/CORRECTIONS/issues/362
2021-09-13	7c36915cf669721e97205db31876e5e3c54606e5	minor shs change
2021-09-13	32f51acf3dd36e12d946d65bca45e7f1cc997e83	krm
2021-09-13	90ddffc9269ae43c53e4632346d70d614f6d833c	inm minor edit
2021-09-13	06112cc59a6a3df969532854695497c4169afe38	gst persian addition
2021-09-13	903c3d00fe652ba8bfe5af9a7a8ae4377b274973	BEN ab ls marking
2021-09-13	1867cb58cb45acb32f7e876998acb99c8e13e21d	vcp degree issue
2021-09-13	f77b6460c198ab51b8a36067b528d7a60e87dbe1	missing parentheses
2021-09-13	b0e45c5d77872f62f9e2fe128383fc27af4b8a35	cae and ccs M accent issue
2021-09-13	931136e8aed420dd6cac7de807a9ea58c119378c	silently create slp1 folder if not exists
2021-09-07	e87c68fe3fb50a424a371845d84bd53f843617c7	regen devanagari
2021-09-07	0715939b8992b78106149fd1000523fc18c61732	carry changes to csl-orig repository from csl-devanagari
2021-09-06	0c5322caa9a8dff73164cfcbbb09b03012508c07	INM manual change
2021-09-06	4e32953316eab7c45604daf6ab8d867402517da8	GRA manual corrections based on comments
2021-09-06	bda7e6b1f47007ec42e0b94ce0e0de6d29355457	Ap90 manual corrections. #6
2021-09-06	158bb3a2ada44998ec8240672b13b720fdb1d573	all mechanical changes made as per https://github.com/sanskrit-lexicon/CORRECTIONS/issues/92
2021-09-06	c73e109b68a2f2d81eda0eb2bdc5dfc0a6722669	AE manual corrections based on comments
2021-09-06	c9a92529dbdbb85a201336c5b3c5f2641e97f0df	ACC manual corrections based on comments
2021-09-06	547f9287c185ffece4a5504f05a6d9126a4c9225	ACC https://github.com/sanskrit-lexicon/CORRECTIONS/issues/92
2021-09-06	ddf5e1590526f6da1e7d23d1f64d1bc47d4ee120	convey changes to csl-devanagari
2021-09-06	b67f182f5900fba87df9bc44f78f9b6ca064e696	write to outputfile
2021-09-06	e173d658446b2240a80d48af6cc2e23590b10ec4	correct minor errors in AB file
2021-09-06	649f596f1d11cb8c4d429c8175e5b55facf89150	https://github.com/sanskrit-lexicon/CORRECTIONS/issues/92#issuecomment-913174476 started
2021-09-03	ea63c086f156fbbf0705cce1b71a28b78a895c1a	IEG metaline reverted
2021-09-03	ad7d90037d28f6d5b1e39133c6a291e2de2f7d3c	MWE metaline reverted
2021-09-03	bd633ab0e164d71f9f7803f17ace89a4de41ea94	AE metaline reverted
2021-09-03	ceec7a4ce9127163cbfec87de0061386d5839d11	BOR metaline reverted
2021-09-03	19060fc9134215f1cafb40c0dcb99114d74dc87f	remove unnecessary line
2021-09-03	31face6c6978b0e86c356fa4af2c66ad988ff203	removed listing from code
2021-09-03	c13c6c400ada2d259a0a521218a80fa0f30721fb	#23
2021-09-03	1e107fde12ff30e0d3ea09ac3b154040b169a380	to_slp1 is commented
2021-09-03	7c8c8f6918ba19701ca0b7fa3b891821857be498	to_devanagari commented
2021-09-03	a454733559f65114d8b51ac5ce0127547458439e	to_slp1 PEP8 compliant
2021-09-03	d006ade136e2facbbd4d46d7248a7b8374a15328	to_devanagari PEP8 compliant
2021-09-03	c763653da231417af552fdfefafdd52409f02fbf	indic-transliteration dependency mentioned in readme
2021-09-03	32287c4363a0a121acdd501ef33007b6054048ab	readme has links now
2021-09-03	e09046ce0249f5a0df16e579e1b10c373cf00234	readme added
2021-09-03	07a762f70ca8599c21b69a7a383d924d82532c9d	redo_all pulls latest csl-orig
2021-09-03	0942d624ee084978c4f3f298c19098625df5a272	close #22
2021-09-03	85518f71585c7772495036ccd83298b8164e0fb4	close #21
2021-09-03	1d217582bd5cc6afd47ec293f7bb6f56a5f1c276	close #20
2021-09-03	12b0272ec1c9c6016ae9ce9e0b1092d6b89d48d1	close #19
2021-09-03	87145549740923bbb1e335aed4ce0afa8a63855f	close #18
2021-09-03	048a993d319ae676f9851ae0db00d0ed739cbc91	close #15
2021-09-03	cffc3127f5505b6ef0fc7f5edbd2cb2fedc323d2	close #14
2021-09-03	15c555fea8a007ccc9eb8a1409f0d18649fb3c36	close #13
2021-09-03	e74e9d11e3d2602e362d09cf4f8f13012be70008	close #11
2021-09-03	023ae9d2f7ff2a5605445c55c420bb27a2e762dd	diff null for AP90 and BEN after corrections in csl-orig
2021-09-03	fc21e9be6bbfb3f593557a7bb02c1b570e12ac44	close #7
2021-09-03	6c535b03933ab63ffde37ac9c47c85ca45fa37a7	close #5
2021-09-03	a09d0236a0e7973b899720d73ddab02d62c2e144	redo_all script made and metaline converted to Devanagari
2021-09-03	4b835107f968f8feefc7781f9952268c798db49c	BUR and STC
2021-09-03	d7c876fa67803e45b8ac2474b1775d2dd5227e69	ignore pycache
2021-09-03	b15c0f3d4e82a87c4b752ed6d2753509675aff31	SNP k1 k2 updated
2021-09-02	9ca6e815ed12205e73e204f8fc7e99bb3c27ae0c	MCI added
2021-09-02	1fbdcdfff5597711440b9fcfd1047fe7090445ef	PGN added
2021-09-02	85619a5393df0e4918bdd9c1f664307dd2d24665	PE added
2021-09-02	3d7eeb5d9690af17c3d3751d864d675cd8f9efab	SNP added
2021-09-02	294a0483f1a9e0a21b48017db3b6f60990cb70df	IEG added
2021-09-02	da656eb7fdf200b175d9c863511249d595488af9	KRM added
2021-09-02	35edbe996bce1c24402a437cc4056af71f69eee8	ACC added
2021-09-02	ead43366d10cd51fe50b906cb51e2617da9df0b8	BHS added
2021-09-02	1d76d547aafca89d580a50fb61383c4fdbdefc9b	PUI added
2021-09-02	ce572139018a0c7b6ba37d60fe00fa6246335b0a	VEI added
2021-09-02	a207ad0ef4bde2a5a81e9df1faaa9dcf7fb6efde	INM added
2021-09-02	fb8cc257dcefbd0ce9e1399d9e69f7a32041a6aa	ARMH added
2021-09-02	26ee8679ef7c81027e99f554b006da135c235b9c	BOP added
2021-09-02	aee9854f69c5b48fd9dbdc7ec9e1dee4a4b56f11	MW IAST left as it is;
2021-09-02	130a68ac8efc5c5ee252e278563fd572c970cbc3	SCH added
2021-09-02	9f39367dccb21fdd49951d199157b6bc49989e04	CCS added
2021-09-02	d185757ef3c05255df8b79dac8d6b5543f5dffc4	PW added
2021-09-02	89bf7e037f9fb385434a47d6b08843512e1d9532	GRA added
2021-09-02	c4a094e4c6104fb3f1e715030db1c46b10ba3d4e	PWG added
2021-09-02	31b165719b28ca528e8c53beb67832911601c340	AE added
2021-09-02	b96badbacdca86f501b3a2d0d9b11b2a569369b0	BOR added
2021-09-02	1bc1ae1f75c45576e300c0abce56b7be8b363114	MWE added
2021-09-02	190e62316345d159c7ee660392a4c717e0e165c4	AP90 added
2021-09-02	ff783f71b09f5bf1d27cef60c908a35abb661df6	SHS added
2021-09-02	cceb100e8802a1431d0f183e05dec7a8cac21fe1	MW added
2021-09-02	649df1a92d78dd314bb4d7186189503c3a5453a8	CAE and MD added
2021-09-02	f3a16ff847500d598c0b6e4a0f297f80e98621bf	LAN added
2021-09-02	06d947a3b952052764164daa53ad7682a070095f	MW72 IAST converted to Devanagari
2021-09-02	ef135d124a064fd573d5af5cdeab672c6550767b	MW72 added
2021-09-02	8e8597f851870c5d89862b1aadd48a503fe416ef	BEN added
2021-09-02	7d959648aa8d939eec102ffa5b713737b7b997c3	YAT and GST addded
2021-09-02	20d461166bbdd680b529b4c2fc941a3f0cb33efe	WIL added
2021-09-02	1b07bffba9f942b6c8276d987faaa66906ed1c77	SKD added
2021-09-02	5546bdb408e6e958fb195a6a95ada476ef734e18	reorg in slp1 folder (untracked folder)
2021-09-02	87c13fae7197f8acd7ff15df7b1424ee7958e7a5	redo script created
2021-09-02	4b463da45ffed1f99973965284747cf23238ee87	trailing line breaks removed
2021-09-02	2f1bb70e77885b6992d9cc7806239c5cbdcdc212	to_slp1 first commit
2021-09-02	d668287f4920c9822fc5fa8d45934778f5986bef	VCP first commit
2021-09-02	fc84eb497570c9ef98983802ddc61c32f697c571	to_devanagari first commit
2021-09-02	2bfdf12026e33c2e1ec271c7729158661403a6ba	ignore slp1 folder
