date	sha	title
2019-11-27	efea96eab2c9b73a4d32713c1504e7963a209a2b	Major refactoring in preparation for transition to csl-inflect repository
2019-11-19	4fb825110ef6a3b262abb9e4853fa5a8f6c0942c	web directory for displays, analogous to fflex1 at Cologne
2019-11-19	11ae744c1c52966ba4b3549a53d85e23e8474f9f	sqlite directory initialized for nominals
2019-11-19	9bc0ed35ad3961b9b5f5f7d9d207cfb0dfd3a103	remove inflect/diff_nopada_m_a.txt, inflect/redo.sh
2019-11-19	4d1fb4e84009b717a8aa9c28961aa87962cdf177	Minor reorg re nominals
2019-11-18	39dc6e96418b078e71aec3f6d83e3b663107cb17	Don't track outputs/nominals/*.txt
2019-11-18	3c8cabd73ac25bd40b9cca1a038c3d7893ee4387	rename stem_model_None to stem_model_todo
2019-11-18	9b82aa6ff89c8f2fcfea3dce03ed208d1f71b1d2	Remove individual nominals declension files
2019-11-18	24c290a310c62cd3f155a68da820ee4d01202f82	stem_model_None.txt : problems with inflection
2019-11-18	78e355d2cd5ef99da3954c7d9633c60b5e5768de	redo.sh for inputs/nominals
2019-11-17	88ee13db4adadcf1cf409ed54b82b877f0b32655	revise stem_model workflow; take duplicates into account
2019-11-17	d03021157206ea31bb863f7fb935621264c60715	Put working notes related to stem_model into separate subdirectory
2019-11-17	762f01f93dd8da29204ed773f187a5ef029e03b7	Refactor analysis files in separate analysis subdirectory
2019-11-17	7a76c99b235a8dc5609fc03c64dc3b8a55067201	Remove individual stem-model files
2019-11-16	fb7e09e0ce56530ac07d8504bdc274fc823eedb5	recompute declensions to correct error in neuter acc. pl. of nouns ending in 'an'
2019-11-16	6a90756d10f6ede97a2fca0be7b4f79cb45c4611	1) refactor so decline_1cons a separate module; 2) add 'accpl' to correct error in declension of nouns ending in 'an'
2019-11-16	f62186abb32f0974c6ba2a56a0edda279b42ccbb	optionally write refs
2019-11-16	726ef647ddeae4303c62874f3b9af3c67a31980c	Revise stem-model inputs
2019-01-03	fdaa95049b33b4e42c18d3c8b456cd0036c7c55f	Recompute declensions
2019-01-03	7f679fd54934142cdb0f94b021aba3edd22e4184	Declension of nominals ending in 1-stem. initial work
2019-01-02	09a3bd48aa827c82abdb3ac9297d1c73a491ee13	summary of nouns ending with a consonant and decline with the 1 stem models
2018-12-29	1b8ae088ce101949ec00655a0abec4ddcba2ca74	Declension of pronouns
2018-12-22	ea9d45e1c8276ac4ceb11de0594f75b9c2db754a	declension models m_card, etc.
2018-12-20	d45c935ccdf1dd30a0864e1ead3d3498db0bef2c	remove debug statements
2018-12-20	e0a3cff8d71a7a8d57670a517d93fd98d1eb695f	correct m/f/n_an models for 'han' and its compounds
2018-12-19	3dc0e05a96da2e63b28d3f3700fc5f9480771b5b	declension models m_aYc, etc.
2018-12-17	493318c9a50338102629d5ed6cdf1b36873d4757	Declension of nominals ending in 'an', models m_an, etc.
2018-12-13	c6a34f8d8fce59ac96ea3986bed89369ef9b3297	declensions after removing apostrophe in 189 records
2018-12-13	cd41cf0b8ea2034b4d8b8dd62f731dacf7bae110	Remove apostrophe from key2 (189 cases)
2018-12-13	36d385c39ccdca48d9f7219f16f63cb412985325	declensions after removing space character
2018-12-12	12027b8280b90176f95ddf75391e534ffa45d250	relabel some as card; remove when key2 contains a space character
2018-12-12	ecb31dbb47c3557ff17e58f048c261deb3c69118	declension models m_us, etc.
2018-12-12	7b5d6c47d6d52af0a21529cc59854970f0dcbb56	declension models m_is, etc.
2018-12-12	345b65eaf6d074a272676599ba395e6842c0297d	convert stem_model.py and slp_cmp.py to python3; mfn_is models
2018-12-11	b9b67786a3f49c9b31027270c706bc0f5e98627d	Declension models m_as, n_as, f_as
2018-12-06	fa7eca5a707541fa4492ae11cafb93a42715c182	declension models m_vas, etc.
2018-12-05	34a74b547fadbeb830873d5e3fc8fa0a12ccc1ba	declensions for nominals with model Iyas
2018-12-05	1a2b037cae9f732e44a463ee1d3fc72fbe0cbcea	a couple of words reclassified as participles
2018-12-04	b954105e17996a566f90aade394e2c276a1584ae	model m_vat, etc. and declension
2018-12-04	5ca05198dbe9023028a4a29f2e6f277819b6ee52	Some 'yat' ending words classed as participles
2018-12-04	b173365b6ef5178fa7e3f147c820d3a001afe881	remove 'LEXID=pron' from lexnorm-all2
2018-11-30	0830c177212da7268621cb940cafa5b9630222cf	decline nominals ending in 'in'
2018-11-10	314dbbfc97a303f4f58e9a7120cc28d9dc7ec178	correction in md1
2018-11-10	5ce3eb3b31474f321272463b22a489efda2da909	Declension of nominals ending in 'F' or 'x'
2018-11-09	7a3755fede18c686566da87f96dd1211d33bf57e	declension of stems ending in 'E'
2018-11-09	41de7a50027cbc22793572552194447b64d11aa8	declension of nominals ending in 'e'
2018-11-09	a73efab3799adcac6c77af5f0da9c8d06ef3e3e8	Declension nominals ending in 'O'
