date	issue	state	title
2024-08-27	9	closed	Replacing ben_hwextra with Lbody
2022-05-20	8	closed	Greek text proofreading
2022-05-20	7	open	oM, o~, and Unicode Character 'DEVANAGARI OM'
2022-05-10	6	closed	Greek text
2021-10-03	5	open	Mine Andhrabharati's version 
2021-10-02	4	closed	New scanned images 
2021-09-19	3	closed	Addl. strings for ab, ls and bot markings
2021-08-21	2	closed	Abbreviation markup
2020-04-30	1	open	verbs01
