issue	date	state	#comm	title
1755	2024-11-13	closed	1	pwg:13239
1754	2024-10-09	closed	1	mw:
1753	2024-10-09	closed	1	mw:28747
1752	2024-10-09	closed	1	mw:80341
1751	2024-10-10	closed	1	wil:6290
1750	2024-10-09	closed	1	stc:10915
1749	2024-10-09	closed	1	mw:164838
1748	2024-10-10	closed	1	vcp:37664
1747	2024-10-10	closed	1	gra:4265
1746	2024-10-09	closed	1	stc:11682
1745	2024-10-09	closed	1	bur:8584
1744	2024-10-09	closed	1	bur:18023
1743	2024-10-09	closed	1	stc:7572
1742	2024-10-09	closed	1	stc:8445
1741	2024-10-09	closed	1	mw:106933
1740	2024-10-09	closed	1	mw:97720
1739	2024-10-09	closed	1	stc:13882
1738	2024-10-10	closed	1	gra:5514
1737	2024-10-11	closed	1	gra:6296
1736	2024-07-05	closed	0	MW: 262445 hastinApura
1735	2024-06-26	closed	1	mw:200196
1734	2024-06-26	closed	1	mw:200195
1733	2024-06-26	closed	1	mw:200194
1732	2024-06-26	closed	1	mw:200193
1731	2024-06-26	closed	1	mw:200100
1730	2024-06-26	closed	1	mw:199915
1729	2024-06-26	closed	1	mw:199874
1728	2024-06-26	closed	1	mw:199361
1727	2024-06-27	closed	1	gra:2645
1726	2024-06-26	closed	1	mw:193733
1725	2024-06-26	closed	1	mw:203141
1724	2024-06-26	closed	1	mw:-śirayati
1723	2024-06-27	closed	1	gra:6055
1722	2024-06-27	closed	1	mwe:4165
1721	2024-06-26	closed	1	mw:137883
1720	2024-06-26	closed	1	mw:162843
1719	2024-06-26	closed	1	mw:162837
1718	2024-06-26	closed	1	mw:3913
1717	2024-06-26	closed	1	stc:12925
1716	2024-06-26	closed	1	stc:22180
1715	2024-06-26	closed	1	stc:8413
1714	2024-06-26	closed	1	bur:400
1713	2024-06-26	closed	1	stc:21309
1712	2024-06-27	closed	2	ap90:19308
1711	2024-06-26	closed	1	bur:14692
1710	2024-06-27	closed	1	ap90:21642
1709	2024-06-26	closed	1	bur:7660
1708	2024-06-26	closed	1	bur:10399
1707	2024-06-26	closed	1	bur:1463
1706	2024-06-26	closed	1	pw:10081
1705	2024-06-26	closed	1	stc:17042
1704	2024-06-27	closed	1	ap90:
1703	2024-06-27	closed	1	mwe:
1702	2024-06-26	closed	1	mw: ard: 16095
1701	2024-06-27	closed	1	ap:4564
1700	2024-07-16	closed	3	ap:916
1699	2024-06-27	closed	1	vcp:2074
1698	2024-06-26	closed	1	mw:133620
1697	2024-06-26	closed	1	mw:20604
1696	2024-06-26	closed	1	pw:95079
1695	2024-06-26	closed	1	stc:12876
1694	2024-06-26	closed	1	mw:7904
1693	2024-06-26	closed	1	mw:97705
1692	2024-06-27	closed	1	vcp:sevA
1691	2024-06-27	closed	1	gra:12480
1690	2024-06-26	closed	1	mw: 199616 vilamba
1689	2024-06-26	closed	1	pw:80202
1688	2024-06-26	closed	1	stc:17042
1687	2024-06-27	closed	1	ae:225
1686	2024-06-26	closed	1	mw:234226
1685	2024-06-26	closed	1	stc:4995
1684	2024-06-26	closed	1	bur:3630
1683	2024-06-25	closed	1	mw:145646
1682	2024-06-26	closed	1	pw:18644
1681	2024-06-27	closed	1	ap90:
1680	2024-06-26	closed	1	stc:17094
1679	2024-06-27	closed	1	gra:3243
1678	2024-06-25	closed	1	mw:
1677	2024-06-25	closed	1	mw:94984
1676	2024-06-27	closed	2	gra:6412
1675	2024-06-25	closed	1	mw:240462
1674	2024-06-26	closed	1	stc:21470
